Model,Feature Representation,Val Accuracy,Val Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Macro Precision,Test Macro Recall
Word TF-IDF + LogisticRegression,WORD_TFIDF,0.7297574746567432,0.7131770355622147,0.7363456464379947,0.717225089855244,0.7386569402201982,0.6982909281879197,0.7444233678618437
Char TF-IDF + LinearSVC,CHAR_TFIDF,0.7361734890286155,0.7127727544656512,0.7362137203166227,0.7119744070778896,0.7344466018279132,0.7025438455524982,0.7239332017826079
Char TF-IDF + LogisticRegression,CHAR_TFIDF,0.7282176312074939,0.7041591966995034,0.7336411609498681,0.7112181855439069,0.7366291320327464,0.687353611806469,0.7499825097550324
BoW + LogisticRegression,BOW,0.723598100859746,0.7070220435144645,0.7253957783641161,0.7084794420720841,0.7277063530248821,0.6991234650660016,0.71979689148193
Word TF-IDF + LinearSVC,WORD_TFIDF,0.7269344283331195,0.7035715386797106,0.7301451187335092,0.708034684861179,0.7278709399647751,0.7004405300862603,0.7173613627833866
BoW + LinearSVC,BOW,0.6908764275631978,0.6648811587020587,0.691622691292876,0.6672208633704567,0.690435035410408,0.664720393988329,0.6699276630684528
Word TF-IDF + MultinomialNB,WORD_TFIDF,0.6807391248556397,0.6230107951395828,0.6903693931398417,0.6375184554857942,0.6831622865208665,0.6769486756367233,0.6161099630669012
BoW + MultinomialNB,BOW,0.6725266264596432,0.625914481334562,0.6766490765171504,0.6347728265946372,0.6728319174805295,0.6135322113007508,0.6730714262260205
Word TF-IDF + ComplementNB,WORD_TFIDF,0.6912613884255101,0.6212847105318592,0.6966358839050132,0.6234638554323797,0.6707053573044984,0.6597164611959603,0.6263024161001759
BoW + ComplementNB,BOW,0.6960092390606955,0.6280361471663232,0.6945250659630607,0.6192120924698016,0.6653991366223307,0.6615791236655018,0.624373986131759
