Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.5664179104477612,0.7093457943925233,0.6298755186721992,1070.0
displaced_people_and_evacuations,0.7792682926829269,0.8088607594936709,0.7937888198757764,790.0
infrastructure_and_utility_damage,0.6939890710382514,0.7854050711193569,0.7368726428778648,1617.0
injured_or_dead_people,0.7114058355437666,0.926744989633725,0.804921968787515,1447.0
missing_or_found_people,0.627906976744186,0.375,0.46956521739130436,72.0
not_humanitarian,0.554481546572935,0.5068273092369477,0.5295845572807386,1245.0
other_relevant_information,0.5916289592760181,0.2172829248026589,0.31783652385293226,2407.0
requests_or_urgent_needs,0.5918367346938775,0.22264875239923224,0.32357043235704325,521.0
rescue_volunteering_or_donation_effort,0.7373174481168332,0.909457217350083,0.8143903215536453,4219.0
sympathy_and_support,0.7615384615384615,0.7821670428893905,0.7717149220489977,1772.0
