Vectorizer Config,Feature Dim,C,Val Macro F1,Val Accuracy,Train Time (s)
10k_unigram,10000,0.05,0.7064,0.7274,5.58
10k_unigram,10000,0.1,0.7025,0.7217,6.69
10k_unigram,10000,0.5,0.6784,0.7015,13.43
10k_unigram,10000,1.0,0.6638,0.6879,20.57
10k_unigram,10000,2.0,0.6457,0.6729,33.72
20k_bigram,20000,0.05,0.704,0.7294,10.26
20k_bigram,20000,0.1,0.6924,0.7191,12.32
20k_bigram,20000,0.5,0.6641,0.6919,26.32
20k_bigram,20000,1.0,0.6569,0.6837,46.49
20k_bigram,20000,2.0,0.651,0.6756,77.45
30k_trigram,30000,0.05,0.7038,0.729,12.08
30k_trigram,30000,0.1,0.6919,0.7196,14.47
30k_trigram,30000,0.5,0.6687,0.695,32.47
30k_trigram,30000,1.0,0.6613,0.6874,65.03
30k_trigram,30000,2.0,0.6516,0.6779,92.21
min_df2_all,113476,0.05,0.7101,0.7355,4.69
min_df2_all,113476,0.1,0.705,0.7309,5.46
min_df2_all,113476,0.5,0.6908,0.7147,10.49
min_df2_all,113476,1.0,0.6853,0.7099,15.28
min_df2_all,113476,2.0,0.6817,0.7074,20.45
