Class,Precision,Recall,F1-Score,Support
Caution & Advice,0.6528046421663443,0.6308411214953271,0.6416349809885932,1070.0
Displaced / Evac.,0.8315665488810365,0.8936708860759494,0.8615009151921904,790.0
Infrastructure,0.7663389242336611,0.8194186765615337,0.7919904363419008,1617.0
Injured / Dead,0.8811556139198949,0.9274360746371804,0.9037037037037037,1447.0
Missing / Found,0.7323943661971831,0.7222222222222222,0.7272727272727273,72.0
Not Humanitarian,0.5440329218106996,0.5309236947791165,0.5373983739837398,1245.0
Other Info,0.543633125556545,0.5072704611549647,0.524822695035461,2407.0
Requests / Urgent,0.5180102915951973,0.5796545105566219,0.5471014492753623,521.0
Rescue / Donation,0.8419928825622776,0.8411945958757999,0.8415935499170026,4219.0
Sympathy / Support,0.8212389380530973,0.7855530474040632,0.8029997115661955,1772.0
