Vectorizer Config,Feature Dim,C,Val Macro F1,Val Accuracy,Train Time (s)
10k_unigram,10000,0.1,0.6991,0.7189,12.71
10k_unigram,10000,0.5,0.6968,0.7144,21.92
10k_unigram,10000,1.0,0.6927,0.7091,28.65
10k_unigram,10000,2.0,0.6831,0.7017,42.65
10k_unigram,10000,5.0,0.6738,0.692,45.82
20k_bigram,20000,0.1,0.7108,0.7278,15.73
20k_bigram,20000,0.5,0.7063,0.7222,27.38
20k_bigram,20000,1.0,0.704,0.7187,33.6
20k_bigram,20000,2.0,0.6968,0.7131,32.48
20k_bigram,20000,5.0,0.6845,0.7036,37.29
30k_trigram,30000,0.1,0.7125,0.7283,19.26
30k_trigram,30000,0.5,0.7066,0.7236,28.18
30k_trigram,30000,1.0,0.7047,0.7208,34.22
30k_trigram,30000,2.0,0.7021,0.7174,36.8
30k_trigram,30000,5.0,0.685,0.7069,36.84
min_df2_all,113476,0.1,0.7157,0.7316,30.55
min_df2_all,113476,0.5,0.7209,0.7349,49.66
min_df2_all,113476,1.0,0.7166,0.7326,58.39
min_df2_all,113476,2.0,0.7109,0.7292,55.92
min_df2_all,113476,5.0,0.7089,0.7282,54.07
