Class,Precision,Recall,F1-Score,Support
Caution & Advice,0.65832531280077,0.6392523364485981,0.6486486486486487,1070.0
Displaced / Evac.,0.8483009708737864,0.8848101265822785,0.8661710037174721,790.0
Infrastructure,0.7822435512897421,0.8064316635745207,0.7941534713763703,1617.0
Injured / Dead,0.896032831737346,0.9053213545266068,0.9006531454107941,1447.0
Missing / Found,0.6352941176470588,0.75,0.6878980891719745,72.0
Not Humanitarian,0.5268579838116262,0.5751004016064257,0.5499231950844854,1245.0
Other Info,0.5308441558441559,0.5434150394682177,0.5370560459864504,2407.0
Requests / Urgent,0.504,0.6046065259117083,0.5497382198952879,521.0
Rescue / Donation,0.8547938274728054,0.8009006873666745,0.8269701419481155,4219.0
Sympathy / Support,0.8210463733650416,0.7793453724604966,0.7996525767226405,1772.0
