Vectorizer Config,Feature Dim,alpha,Val Macro F1,Val Accuracy,Train Time (s)
10k_unigram,10000,0.01,0.5982,0.6489,0.02
10k_unigram,10000,0.05,0.6079,0.6574,0.02
10k_unigram,10000,0.1,0.6116,0.6591,0.02
10k_unigram,10000,0.5,0.6165,0.667,0.02
10k_unigram,10000,1.0,0.6152,0.6706,0.02
20k_bigram,20000,0.01,0.616,0.6655,0.03
20k_bigram,20000,0.05,0.6203,0.6691,0.03
20k_bigram,20000,0.1,0.6212,0.6698,0.03
20k_bigram,20000,0.5,0.6233,0.6706,0.03
20k_bigram,20000,1.0,0.6302,0.6771,0.03
30k_trigram,30000,0.01,0.6139,0.6625,0.04
30k_trigram,30000,0.05,0.6217,0.6635,0.04
30k_trigram,30000,0.1,0.6187,0.6633,0.04
30k_trigram,30000,0.5,0.6268,0.67,0.04
30k_trigram,30000,1.0,0.6302,0.6766,0.04
min_df2_all,113476,0.01,0.6206,0.6685,0.07
min_df2_all,113476,0.05,0.6242,0.6734,0.06
min_df2_all,113476,0.1,0.6281,0.676,0.06
min_df2_all,113476,0.5,0.629,0.6859,0.06
min_df2_all,113476,1.0,0.6066,0.6848,0.06
