Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.5823293172690763,0.677570093457944,0.6263498920086393,1070.0
displaced_people_and_evacuations,0.6873563218390805,0.7569620253164557,0.7204819277108434,790.0
infrastructure_and_utility_damage,0.7119801365611421,0.7093382807668522,0.7106567534076828,1617.0
injured_or_dead_people,0.7677902621722846,0.8500345542501728,0.8068219088225648,1447.0
missing_or_found_people,0.3983050847457627,0.6527777777777778,0.49473684210526314,72.0
not_humanitarian,0.4794952681388013,0.6104417670682731,0.5371024734982333,1245.0
other_relevant_information,0.5104364326375711,0.33527212297465725,0.4047141424272818,2407.0
requests_or_urgent_needs,0.4005270092226614,0.5834932821497121,0.475,521.0
rescue_volunteering_or_donation_effort,0.806655331552101,0.7871533538753259,0.7967850287907869,4219.0
sympathy_and_support,0.7870813397129187,0.7426636568848759,0.7642276422764228,1772.0
