Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6119929453262787,0.6485981308411215,0.6297640653357531,1070.0
displaced_people_and_evacuations,0.8254335260115607,0.9037974683544304,0.8628398791540786,790.0
infrastructure_and_utility_damage,0.7669565217391304,0.8181818181818182,0.7917414721723519,1617.0
injured_or_dead_people,0.8798938287989383,0.9163787145818936,0.8977657413676371,1447.0
missing_or_found_people,0.7027027027027027,0.7222222222222222,0.7123287671232876,72.0
not_humanitarian,0.5297256097560976,0.5582329317269076,0.543605788032851,1245.0
other_relevant_information,0.556918547595682,0.4715413377648525,0.5106861642294713,2407.0
requests_or_urgent_needs,0.47896440129449835,0.5681381957773513,0.5197541703248464,521.0
rescue_volunteering_or_donation_effort,0.8403241182078169,0.8357430670775066,0.8380273321449792,4219.0
sympathy_and_support,0.8190419869899468,0.7816027088036117,0.7998844932139764,1772.0
