Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6188870151770658,0.685981308411215,0.650709219858156,1070.0
displaced_people_and_evacuations,0.8236632536973834,0.9164556962025316,0.8675853804673457,790.0
infrastructure_and_utility_damage,0.7887154861944778,0.8126159554730983,0.8004873591227536,1617.0
injured_or_dead_people,0.898876404494382,0.8845888044229441,0.8916753744339951,1447.0
missing_or_found_people,0.5128205128205128,0.8333333333333334,0.6349206349206349,72.0
not_humanitarian,0.53,0.6385542168674698,0.5792349726775956,1245.0
other_relevant_information,0.5609528257823447,0.4989613626921479,0.5281442392260334,2407.0
requests_or_urgent_needs,0.43896424167694204,0.6833013435700576,0.5345345345345346,521.0
rescue_volunteering_or_donation_effort,0.8745003996802558,0.77790945721735,0.8233818364274962,4219.0
sympathy_and_support,0.8169934640522876,0.7759593679458239,0.7959479015918958,1772.0
