Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.5936482084690554,0.6813084112149532,0.6344647519582245,1070.0
displaced_people_and_evacuations,0.766546329723225,0.8063291139240506,0.7859346082665022,790.0
infrastructure_and_utility_damage,0.6902944383860414,0.7829313543599258,0.7337003767024051,1617.0
injured_or_dead_people,0.7222523010286952,0.921907394609537,0.8099574984820886,1447.0
missing_or_found_people,0.6,0.375,0.46153846153846156,72.0
not_humanitarian,0.541025641025641,0.5084337349397591,0.5242236024844721,1245.0
other_relevant_information,0.574468085106383,0.2467802243456585,0.34524847428073235,2407.0
requests_or_urgent_needs,0.5801886792452831,0.236084452975048,0.33560709413369716,521.0
rescue_volunteering_or_donation_effort,0.7441182189383628,0.9070869874377815,0.8175603503524888,4219.0
sympathy_and_support,0.7626651982378855,0.7816027088036117,0.7720178372352285,1772.0
