Vectorizer Config,Feature Dim,C,Val Macro F1,Val Accuracy,Train Time (s)
10k_unigram,10000,0.05,0.707,0.7326,2.64
10k_unigram,10000,0.1,0.7109,0.7363,2.77
10k_unigram,10000,0.5,0.7098,0.7295,3.26
10k_unigram,10000,1.0,0.699,0.72,3.78
10k_unigram,10000,2.0,0.6845,0.709,4.18
20k_bigram,20000,0.05,0.7009,0.7307,4.15
20k_bigram,20000,0.1,0.7117,0.7354,4.47
20k_bigram,20000,0.5,0.7074,0.733,5.26
20k_bigram,20000,1.0,0.6983,0.7237,5.65
20k_bigram,20000,2.0,0.6867,0.7122,6.62
30k_trigram,30000,0.05,0.6993,0.7274,4.75
30k_trigram,30000,0.1,0.7118,0.7346,5.13
30k_trigram,30000,0.5,0.7082,0.7308,5.69
30k_trigram,30000,1.0,0.6959,0.7199,6.65
30k_trigram,30000,2.0,0.6856,0.7122,7.97
min_df2_all,113476,0.05,0.6983,0.7277,2.07
min_df2_all,113476,0.1,0.7124,0.7385,1.99
min_df2_all,113476,0.5,0.7137,0.7399,2.63
min_df2_all,113476,1.0,0.7098,0.7363,3.27
min_df2_all,113476,2.0,0.706,0.7304,4.45
