Class,Precision,Recall,F1-Score,Support
Caution & Advice,0.6397569444444444,0.688785046728972,0.6633663366336634,1070.0
Displaced / Evac.,0.8364485981308412,0.9063291139240506,0.8699878493317132,790.0
Infrastructure,0.7607709750566893,0.8299319727891157,0.7938479739721975,1617.0
Injured / Dead,0.8803641092327699,0.9357290946786455,0.9072026800670017,1447.0
Missing / Found,0.6842105263157895,0.7222222222222222,0.7027027027027027,72.0
Not Humanitarian,0.5552,0.557429718875502,0.556312625250501,1245.0
Other Info,0.5783316378433367,0.47237224761113417,0.5200091470386462,2407.0
Requests / Urgent,0.5223880597014925,0.6046065259117083,0.5604982206405694,521.0
Rescue / Donation,0.840046565774156,0.8551789523583787,0.8475452196382429,4219.0
Sympathy / Support,0.8385542168674699,0.7855530474040632,0.8111888111888111,1772.0
