Vectorizer Config,Feature Dim,C,Val Macro F1,Val Accuracy,Train Time (s)
10k_unigram,10000,0.1,0.6645,0.6888,6.01
10k_unigram,10000,0.5,0.6986,0.7171,13.14
10k_unigram,10000,1.0,0.7025,0.7194,19.12
10k_unigram,10000,2.0,0.7048,0.7203,19.67
10k_unigram,10000,5.0,0.6985,0.7147,28.04
20k_bigram,20000,0.1,0.6588,0.685,8.99
20k_bigram,20000,0.5,0.6985,0.7186,16.38
20k_bigram,20000,1.0,0.7051,0.7259,15.87
20k_bigram,20000,2.0,0.7152,0.7295,25.03
20k_bigram,20000,5.0,0.7077,0.7259,37.84
30k_trigram,30000,0.1,0.6556,0.6814,7.59
30k_trigram,30000,0.5,0.6917,0.7162,16.31
30k_trigram,30000,1.0,0.7029,0.7241,21.52
30k_trigram,30000,2.0,0.7117,0.7296,27.98
30k_trigram,30000,5.0,0.7086,0.7265,31.59
min_df2_all,113476,0.1,0.6509,0.6764,13.66
min_df2_all,113476,0.5,0.7004,0.7178,30.69
min_df2_all,113476,1.0,0.7091,0.7265,35.56
min_df2_all,113476,2.0,0.7174,0.7344,47.68
min_df2_all,113476,5.0,0.7239,0.7381,56.71
