Class,Precision,Recall,F1-Score,Support
Caution & Advice,0.6467486818980668,0.6878504672897197,0.6666666666666666,1070.0
Displaced / Evac.,0.8580097087378641,0.8949367088607595,0.8760842627013631,790.0
Infrastructure,0.7803571428571429,0.8107606679035251,0.7952684258416742,1617.0
Injured / Dead,0.896457765667575,0.9094678645473393,0.9029159519725557,1447.0
Missing / Found,0.6547619047619048,0.7638888888888888,0.7051282051282052,72.0
Not Humanitarian,0.5435591958302308,0.5863453815261044,0.5641421947449768,1245.0
Other Info,0.558252427184466,0.5255504777731617,0.5414080890220415,2407.0
Requests / Urgent,0.49922958397534667,0.6218809980806143,0.5538461538461539,521.0
Rescue / Donation,0.8562531141006477,0.8146480208580232,0.8349325883639014,4219.0
Sympathy / Support,0.8187721369539551,0.7827313769751693,0.8003462204270052,1772.0
