Vectorizer Config,Feature Dim,alpha,Val Macro F1,Val Accuracy,Train Time (s)
10k_unigram,10000,0.01,0.5752,0.641,0.02
10k_unigram,10000,0.05,0.5853,0.6497,0.02
10k_unigram,10000,0.1,0.5868,0.6564,0.02
10k_unigram,10000,0.5,0.535,0.6597,0.02
10k_unigram,10000,1.0,0.5089,0.6502,0.02
20k_bigram,20000,0.01,0.6126,0.6673,0.03
20k_bigram,20000,0.05,0.6248,0.6783,0.03
20k_bigram,20000,0.1,0.6259,0.6819,0.03
20k_bigram,20000,0.5,0.6065,0.6832,0.02
20k_bigram,20000,1.0,0.5519,0.6727,0.03
30k_trigram,30000,0.01,0.6144,0.6687,0.03
30k_trigram,30000,0.05,0.6251,0.6753,0.03
30k_trigram,30000,0.1,0.626,0.6786,0.03
30k_trigram,30000,0.5,0.5947,0.6816,0.03
30k_trigram,30000,1.0,0.5324,0.6664,0.03
min_df2_all,113476,0.01,0.6065,0.6655,0.07
min_df2_all,113476,0.05,0.6115,0.677,0.05
min_df2_all,113476,0.1,0.6035,0.68,0.05
min_df2_all,113476,0.5,0.4829,0.6365,0.05
min_df2_all,113476,1.0,0.4326,0.5923,0.05
