Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6303142329020333,0.6373831775700934,0.6338289962825279,1070.0
displaced_people_and_evacuations,0.8039816232771823,0.6645569620253164,0.7276507276507277,790.0
infrastructure_and_utility_damage,0.7372937293729372,0.6907854050711194,0.7132822477650064,1617.0
injured_or_dead_people,0.7903846153846154,0.8521078092605391,0.8200864649151979,1447.0
missing_or_found_people,0.675,0.375,0.48214285714285715,72.0
not_humanitarian,0.50920245398773,0.5333333333333333,0.5209886229894076,1245.0
other_relevant_information,0.4899853444064485,0.41670128791026173,0.45038167938931295,2407.0
requests_or_urgent_needs,0.5889967637540453,0.3493282149712092,0.43855421686746987,521.0
rescue_volunteering_or_donation_effort,0.7410517896420716,0.8784072054989334,0.8039045553145336,4219.0
sympathy_and_support,0.7980594299575501,0.7426636568848759,0.7693656825489623,1772.0
