,precision,recall,f1-score,support
Caution And Advice,0.6834381551362684,0.6093457943925233,0.6442687747035574,1070.0
Displaced People And Evacuations,0.8856382978723404,0.8430379746835444,0.8638132295719845,790.0
Infrastructure And Utility Damage,0.8012618296529969,0.7854050711193569,0.7932542161149282,1617.0
Injured Or Dead People,0.9046008119079838,0.9239806496199032,0.9141880341880342,1447.0
Missing Or Found People,0.9019607843137255,0.6388888888888888,0.7479674796747967,72.0
Not Humanitarian,0.5350140056022409,0.6136546184738956,0.5716423494201271,1245.0
Other Relevant Information,0.5734883720930233,0.5122559202326548,0.5411454904542462,2407.0
Requests Or Urgent Needs,0.5374280230326296,0.5374280230326296,0.5374280230326296,521.0
Rescue Volunteering Or Donation Effort,0.8106141664883373,0.8978430907798056,0.8520017993702205,4219.0
Sympathy And Support,0.8660714285714286,0.7663656884875847,0.8131736526946107,1772.0
accuracy,0.7515831134564643,0.7515831134564643,0.7515831134564643,0.7515831134564643
macro avg,0.7499515874670974,0.7128205719710786,0.7278883049225134,15160.0
weighted avg,0.7507658772830381,0.7515831134564643,0.7494015221918485,15160.0
