,precision,recall,f1-score,support
Caution And Advice,0.6995798319327731,0.6224299065420561,0.658753709198813,1070.0
Displaced People And Evacuations,0.8269005847953217,0.8949367088607595,0.8595744680851064,790.0
Infrastructure And Utility Damage,0.8111319574734209,0.8021026592455164,0.806592039800995,1617.0
Injured Or Dead People,0.9036388140161725,0.926744989633725,0.9150460593654043,1447.0
Missing Or Found People,0.7037037037037037,0.7916666666666666,0.7450980392156863,72.0
Not Humanitarian,0.6326315789473684,0.4827309236947791,0.5476082004555809,1245.0
Other Relevant Information,0.5452471482889734,0.5957623597839634,0.5693865396069089,2407.0
Requests Or Urgent Needs,0.5104333868378812,0.6103646833013435,0.5559440559440559,521.0
Rescue Volunteering Or Donation Effort,0.8367114552493737,0.8708224697795686,0.8534262485481998,4219.0
Sympathy And Support,0.8633228840125392,0.7770880361173815,0.817938817938818,1772.0
accuracy,0.7567282321899736,0.7567282321899736,0.7567282321899736,0.7567282321899736
macro avg,0.7333301345257527,0.737464940362576,0.7329368178159569,15160.0
weighted avg,0.7584102944835,0.7567282321899736,0.7557937813505121,15160.0
