,precision,recall,f1-score,support
Caution And Advice,0.7254901960784313,0.5532710280373832,0.6277836691410392,1070.0
Displaced People And Evacuations,0.8452088452088452,0.8708860759493671,0.85785536159601,790.0
Infrastructure And Utility Damage,0.7860182370820669,0.7996289424860853,0.7927651747394237,1617.0
Injured Or Dead People,0.8926401080351114,0.9136143745680718,0.9030054644808743,1447.0
Missing Or Found People,0.7924528301886793,0.5833333333333334,0.672,72.0
Not Humanitarian,0.5855194123819517,0.44819277108433736,0.5077343039126478,1245.0
Other Relevant Information,0.5145398563120082,0.6248442044038222,0.5643527204502814,2407.0
Requests Or Urgent Needs,0.5634743875278396,0.4856046065259117,0.5216494845360825,521.0
Rescue Volunteering Or Donation Effort,0.8235159294063717,0.8516236074899265,0.8373339547890934,4219.0
Sympathy And Support,0.8316295850871919,0.7804740406320542,0.8052401746724891,1772.0
accuracy,0.7406332453825858,0.7406332453825858,0.7406332453825858,0.7406332453825858
macro avg,0.7360489387308498,0.6911472984510293,0.7089720308317942,15160.0
weighted avg,0.7435876264103909,0.7406332453825858,0.7393318990113747,15160.0
