,precision,recall,f1-score,support
Caution And Advice,0.7035490605427975,0.6299065420560748,0.6646942800788954,1070.0
Displaced People And Evacuations,0.8395209580838323,0.8873417721518987,0.8627692307692307,790.0
Infrastructure And Utility Damage,0.7634763476347635,0.8583797155225726,0.8081513828238719,1617.0
Injured Or Dead People,0.9006004002668445,0.9329647546648238,0.9164969450101833,1447.0
Missing Or Found People,0.8615384615384616,0.7777777777777778,0.8175182481751825,72.0
Not Humanitarian,0.5513748191027497,0.6120481927710844,0.5801294251998478,1245.0
Other Relevant Information,0.5725567620927937,0.4819277108433735,0.5233476201218137,2407.0
Requests Or Urgent Needs,0.528046421663443,0.5239923224568138,0.5260115606936416,521.0
Rescue Volunteering Or Donation Effort,0.8345014695907755,0.8748518606304811,0.8542004165702384,4219.0
Sympathy And Support,0.8491142333536957,0.7844243792325056,0.8154884130243473,1772.0
accuracy,0.7549472295514512,0.7549472295514512,0.7549472295514512,0.7549472295514512
macro avg,0.7404278933870156,0.7363615028107405,0.7368807522467252,15160.0
weighted avg,0.750717014362961,0.7549472295514512,0.751289687060293,15160.0
