Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6371049949031601,0.5841121495327103,0.6094588005850804,1070.0
displaced_people_and_evacuations,0.7922651933701658,0.9075949367088607,0.8460176991150442,790.0
infrastructure_and_utility_damage,0.7544771808203351,0.8076685219542362,0.7801672640382318,1617.0
injured_or_dead_people,0.894878706199461,0.9177608845888044,0.9061753667690208,1447.0
missing_or_found_people,0.6352941176470588,0.75,0.6878980891719745,72.0
not_humanitarian,0.5126582278481012,0.5204819277108433,0.5165404543642885,1245.0
other_relevant_information,0.53601108033241,0.4823431657665143,0.5077629564837087,2407.0
requests_or_urgent_needs,0.42071611253196933,0.6314779270633397,0.5049884881043745,521.0
rescue_volunteering_or_donation_effort,0.8420009905894007,0.8058781701825077,0.8235436599249122,4219.0
sympathy_and_support,0.8132250580046404,0.791196388261851,0.8020594965675057,1772.0
