Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.5946843853820598,0.6691588785046729,0.6297273526824978,1070.0
displaced_people_and_evacuations,0.8245823389021479,0.8746835443037975,0.8488943488943489,790.0
infrastructure_and_utility_damage,0.7491525423728813,0.8200371057513914,0.7829937998228521,1617.0
injured_or_dead_people,0.8806262230919765,0.9329647546648238,0.9060402684563759,1447.0
missing_or_found_people,0.6436781609195402,0.7777777777777778,0.7044025157232704,72.0
not_humanitarian,0.5133333333333333,0.5566265060240964,0.5341040462427745,1245.0
other_relevant_information,0.5270629991126885,0.493560448691317,0.5097618536794679,2407.0
requests_or_urgent_needs,0.42039800995024873,0.6487523992322457,0.510188679245283,521.0
rescue_volunteering_or_donation_effort,0.8752057048820625,0.7563403650154065,0.8114431023521933,4219.0
sympathy_and_support,0.8225806451612904,0.7770880361173815,0.7991874637260592,1772.0
