Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6185752930568079,0.6411214953271028,0.6296466268930702,1070.0
displaced_people_and_evacuations,0.8127128263337117,0.9063291139240506,0.8569718731298623,790.0
infrastructure_and_utility_damage,0.7395604395604396,0.8324056895485467,0.7832411987198138,1617.0
injured_or_dead_people,0.8465804066543438,0.949550794747754,0.895114006514658,1447.0
missing_or_found_people,0.5643564356435643,0.7916666666666666,0.6589595375722543,72.0
not_humanitarian,0.568815331010453,0.5244979919678715,0.5457584621813623,1245.0
other_relevant_information,0.5656410256410257,0.4582467802243457,0.506311682350241,2407.0
requests_or_urgent_needs,0.40963855421686746,0.6525911708253359,0.5033308660251665,521.0
rescue_volunteering_or_donation_effort,0.8463863006799295,0.7966342735245319,0.8207570207570207,4219.0
sympathy_and_support,0.8048639258830341,0.7844243792325056,0.7945127179194056,1772.0
