Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6586134453781513,0.585981308411215,0.6201780415430267,1070.0
displaced_people_and_evacuations,0.7108317214700194,0.930379746835443,0.805921052631579,790.0
infrastructure_and_utility_damage,0.6925358378645576,0.8664192949907236,0.7697802197802198,1617.0
injured_or_dead_people,0.8566037735849057,0.9412577747062889,0.8969377675337504,1447.0
missing_or_found_people,0.6483516483516484,0.8194444444444444,0.7239263803680982,72.0
not_humanitarian,0.5446049277824979,0.5148594377510041,0.5293146160198183,1245.0
other_relevant_information,0.5381944444444444,0.4507685916078106,0.4906172281257065,2407.0
requests_or_urgent_needs,0.44223107569721115,0.6391554702495201,0.5227629513343799,521.0
rescue_volunteering_or_donation_effort,0.8541612986343726,0.785731215927945,0.8185185185185185,4219.0
sympathy_and_support,0.8326232501521607,0.7720090293453724,0.8011713030746705,1772.0
