,precision,recall,f1-score,support
Caution And Advice,0.7380952380952381,0.608411214953271,0.6670081967213115,1070.0
Displaced People And Evacuations,0.9020408163265307,0.839240506329114,0.8695081967213115,790.0
Infrastructure And Utility Damage,0.7947019867549668,0.8163265306122449,0.8053691275167785,1617.0
Injured Or Dead People,0.8999337309476475,0.9384934346924672,0.918809201623816,1447.0
Missing Or Found People,0.7534246575342466,0.7638888888888888,0.7586206896551724,72.0
Not Humanitarian,0.5608882521489972,0.6289156626506024,0.5929572131768269,1245.0
Other Relevant Information,0.57063593683312,0.555463232239302,0.5629473684210526,2407.0
Requests Or Urgent Needs,0.6246973365617433,0.4952015355086372,0.5524625267665952,521.0
Rescue Volunteering Or Donation Effort,0.8468281430219147,0.8701114008058781,0.8583119008650923,4219.0
Sympathy And Support,0.8091560948703805,0.8278781038374717,0.8184100418410042,1772.0
accuracy,0.7627308707124011,0.7627308707124011,0.7627308707124011,0.7627308707124011
macro avg,0.7500402193094786,0.7343930510517878,0.7404404463308962,15160.0
weighted avg,0.7617245625341437,0.7627308707124011,0.7611839878649872,15160.0
