,precision,recall,f1-score,support
Caution And Advice,0.6941694169416942,0.5897196261682243,0.6376958059626073,1070.0
Displaced People And Evacuations,0.8633461047254151,0.8556962025316456,0.859504132231405,790.0
Infrastructure And Utility Damage,0.8306731436502429,0.7402597402597403,0.7828646173969915,1617.0
Injured Or Dead People,0.903137789904502,0.9149965445749827,0.9090284929625815,1447.0
Missing Or Found People,0.803030303030303,0.7361111111111112,0.7681159420289855,72.0
Not Humanitarian,0.5073576455534229,0.6369477911646586,0.5648148148148148,1245.0
Other Relevant Information,0.540506329113924,0.5321977565434151,0.5363198660247017,2407.0
Requests Or Urgent Needs,0.5643564356435643,0.5470249520153551,0.5555555555555556,521.0
Rescue Volunteering Or Donation Effort,0.8270061377585814,0.8622896420952832,0.8442794151775354,4219.0
Sympathy And Support,0.827503015681544,0.7742663656884876,0.8,1772.0
accuracy,0.7420844327176781,0.7420844327176781,0.7420844327176781,0.7420844327176781
macro avg,0.7361086322003194,0.7189509732152903,0.7258178642155177,15160.0
weighted avg,0.746360467071623,0.7420844327176781,0.7428152440211772,15160.0
