Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6219839142091153,0.6504672897196262,0.6359068067610781,1070.0
displaced_people_and_evacuations,0.7930660888407367,0.9265822784810127,0.8546409807355516,790.0
infrastructure_and_utility_damage,0.8022959183673469,0.7779839208410637,0.7899529042386185,1617.0
injured_or_dead_people,0.8951994590939825,0.9149965445749827,0.9049897470950102,1447.0
missing_or_found_people,0.5882352941176471,0.8333333333333334,0.6896551724137931,72.0
not_humanitarian,0.4440506329113924,0.704417670682731,0.5447204968944099,1245.0
other_relevant_information,0.5348027842227379,0.38304943913585376,0.4463810215444202,2407.0
requests_or_urgent_needs,0.4145534729878721,0.7216890595009597,0.5266106442577031,521.0
rescue_volunteering_or_donation_effort,0.8766974470396524,0.765110215690922,0.8171117580053158,4219.0
sympathy_and_support,0.835812016656752,0.7928893905191874,0.8137851143932812,1772.0
