Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.5536357091432685,0.7186915887850467,0.6254575030500203,1070.0
displaced_people_and_evacuations,0.8094170403587444,0.9139240506329114,0.8585017835909632,790.0
infrastructure_and_utility_damage,0.7619610159480212,0.7977736549165121,0.7794561933534743,1617.0
injured_or_dead_people,0.879502292075966,0.9281271596406357,0.9031607262945528,1447.0
missing_or_found_people,0.5728155339805825,0.8194444444444444,0.6742857142857143,72.0
not_humanitarian,0.4833219877467665,0.570281124497992,0.5232129697862933,1245.0
other_relevant_information,0.5331870543060888,0.4038221852928957,0.4595744680851064,2407.0
requests_or_urgent_needs,0.39954853273137697,0.6794625719769674,0.5031982942430704,521.0
rescue_volunteering_or_donation_effort,0.8692474282620466,0.7610808248400095,0.8115758877796032,4219.0
sympathy_and_support,0.8129453681710214,0.7725733634311512,0.7922453703703703,1772.0
