,precision,recall,f1-score,support
Caution And Advice,0.7200854700854701,0.6299065420560748,0.6719840478564307,1070.0
Displaced People And Evacuations,0.8958051420838972,0.8379746835443038,0.8659254414650098,790.0
Infrastructure And Utility Damage,0.8210526315789474,0.7717996289424861,0.7956646477526299,1617.0
Injured Or Dead People,0.8748395378690629,0.9419488597097443,0.9071547420965058,1447.0
Missing Or Found People,0.8301886792452831,0.6111111111111112,0.704,72.0
Not Humanitarian,0.6003805899143673,0.5068273092369477,0.5496515679442509,1245.0
Other Relevant Information,0.5879765395894428,0.49979227253842956,0.5403099034358859,2407.0
Requests Or Urgent Needs,0.589622641509434,0.4798464491362764,0.5291005291005291,521.0
Rescue Volunteering Or Donation Effort,0.773409719478467,0.9279450106660346,0.8436590884602952,4219.0
Sympathy And Support,0.8119706380575946,0.8115124153498872,0.811741462037821,1772.0
accuracy,0.7538258575197889,0.7538258575197889,0.7538258575197889,0.7538258575197889
macro avg,0.7505331589411967,0.7018664282291296,0.7219191430149359,15160.0
weighted avg,0.7455963295041151,0.7538258575197889,0.7461307227876343,15160.0
