,precision,recall,f1-score,support
Caution And Advice,0.7554347826086957,0.5196261682242991,0.6157253599114064,1070.0
Displaced People And Evacuations,0.82953181272509,0.8746835443037975,0.85150955021565,790.0
Infrastructure And Utility Damage,0.8031545741324921,0.7872603586889301,0.7951280449718926,1617.0
Injured Or Dead People,0.9051903114186851,0.9039391845196959,0.9045643153526971,1447.0
Missing Or Found People,0.7924528301886793,0.5833333333333334,0.672,72.0
Not Humanitarian,0.5294117647058824,0.5277108433734939,0.5285599356395817,1245.0
Other Relevant Information,0.5117521367521367,0.5970087245533859,0.5511025886864813,2407.0
Requests Or Urgent Needs,0.5599128540305011,0.4932821497120921,0.5244897959183673,521.0
Rescue Volunteering Or Donation Effort,0.831959706959707,0.8613415501303626,0.8463957144520787,4219.0
Sympathy And Support,0.8449754901960784,0.7782167042889391,0.8102232667450059,1772.0
accuracy,0.7410290237467019,0.7410290237467019,0.7410290237467019,0.7410290237467019
macro avg,0.7363776263717948,0.692640256112833,0.7099698571893163,15160.0
weighted avg,0.7466469320365666,0.7410290237467019,0.7413594112974308,15160.0
