Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.5565770862800565,0.7355140186915888,0.6336553945249598,1070.0
displaced_people_and_evacuations,0.7528438469493278,0.9215189873417722,0.8286852589641435,790.0
infrastructure_and_utility_damage,0.7476323119777158,0.8299319727891157,0.7866354044548651,1617.0
injured_or_dead_people,0.8670483460559797,0.9419488597097443,0.902947996025174,1447.0
missing_or_found_people,0.632183908045977,0.7638888888888888,0.6918238993710691,72.0
not_humanitarian,0.5449915110356537,0.5156626506024097,0.5299215848122163,1245.0
other_relevant_information,0.5299773755656109,0.38928126298296634,0.4488622754491018,2407.0
requests_or_urgent_needs,0.4534412955465587,0.6449136276391555,0.5324881141045958,521.0
rescue_volunteering_or_donation_effort,0.8485976669148673,0.8103816070158806,0.8290494665373423,4219.0
sympathy_and_support,0.8545680546923555,0.7759593679458239,0.8133688257911861,1772.0
