Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.591304347826087,0.6990654205607477,0.6406852248394004,1070.0
displaced_people_and_evacuations,0.8035714285714286,0.9113924050632911,0.8540925266903915,790.0
infrastructure_and_utility_damage,0.7460142935678944,0.839208410636982,0.789871944121071,1617.0
injured_or_dead_people,0.9041379310344828,0.9060124395300622,0.9050742147048672,1447.0
missing_or_found_people,0.5405405405405406,0.8333333333333334,0.6557377049180327,72.0
not_humanitarian,0.5167364016736402,0.5951807228915663,0.5531914893617021,1245.0
other_relevant_information,0.549041095890411,0.4162858329871209,0.4735349716446125,2407.0
requests_or_urgent_needs,0.4519621109607578,0.6410748560460653,0.5301587301587302,521.0
rescue_volunteering_or_donation_effort,0.8541718867451766,0.8080113771035791,0.8304506699147381,4219.0
sympathy_and_support,0.8466257668711656,0.7787810383747178,0.8112874779541446,1772.0
