Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6602129719264279,0.6373831775700934,0.6485972420351879,1070.0
displaced_people_and_evacuations,0.7885032537960954,0.920253164556962,0.8492990654205608,790.0
infrastructure_and_utility_damage,0.716580310880829,0.8552875695732839,0.7798139272624753,1617.0
injured_or_dead_people,0.8674388674388674,0.9315825846579129,0.8983672109296901,1447.0
missing_or_found_people,0.5412844036697247,0.8194444444444444,0.6519337016574586,72.0
not_humanitarian,0.4674698795180723,0.623293172690763,0.5342512908777969,1245.0
other_relevant_information,0.5781653746770026,0.3718321562110511,0.4525916561314791,2407.0
requests_or_urgent_needs,0.4055299539170507,0.6756238003838771,0.5068394528437725,521.0
rescue_volunteering_or_donation_effort,0.8813894380118611,0.7397487556292961,0.8043814432989691,4219.0
sympathy_and_support,0.7303258145363408,0.822234762979684,0.7735598619591186,1772.0
