,precision,recall,f1-score,support
Caution And Advice,0.6807958477508651,0.7355140186915888,0.7070979335130279,1070.0
Displaced People And Evacuations,0.8858218318695107,0.8936708860759494,0.8897290485192186,790.0
Infrastructure And Utility Damage,0.7881944444444444,0.8423005565862709,0.8143497757847533,1617.0
Injured Or Dead People,0.9170600134861767,0.939875604699378,0.9283276450511946,1447.0
Missing Or Found People,0.7777777777777778,0.7777777777777778,0.7777777777777778,72.0
Not Humanitarian,0.6527117031398668,0.551004016064257,0.5975609756097561,1245.0
Other Relevant Information,0.5978956999085087,0.5429995845450769,0.5691269322882647,2407.0
Requests Or Urgent Needs,0.6346153846153846,0.5700575815738963,0.6006066734074823,521.0
Rescue Volunteering Or Donation Effort,0.842267813809839,0.9049537805167102,0.8724862888482633,4219.0
Sympathy And Support,0.8505338078291815,0.809255079006772,0.8293811451706189,1772.0
accuracy,0.779221635883905,0.779221635883905,0.779221635883905,0.779221635883905
macro avg,0.7627674324631555,0.7567408885537678,0.7586444195970358,15160.0
weighted avg,0.7736686352151751,0.779221635883905,0.7752655334045253,15160.0
