Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6543110394842868,0.7588785046728972,0.7027260926006058,1070.0
displaced_people_and_evacuations,0.8314606741573034,0.9367088607594937,0.8809523809523809,790.0
infrastructure_and_utility_damage,0.7824601366742597,0.849721706864564,0.8147050103765194,1617.0
injured_or_dead_people,0.9084880636604774,0.9467864547339323,0.9272419627749577,1447.0
missing_or_found_people,0.7375,0.8194444444444444,0.7763157894736842,72.0
not_humanitarian,0.6133333333333333,0.6281124497991968,0.6206349206349207,1245.0
other_relevant_information,0.6254869226488592,0.4669713336103033,0.5347288296860133,2407.0
requests_or_urgent_needs,0.4967148488830486,0.72552783109405,0.5897035881435257,521.0
rescue_volunteering_or_donation_effort,0.8804643121758459,0.8449869637354823,0.8623609095307209,4219.0
sympathy_and_support,0.8230726566833056,0.837471783295711,0.8302097902097902,1772.0
