,precision,recall,f1-score,support
Caution And Advice,0.6885688568856886,0.7149532710280374,0.7015130674002751,1070.0
Displaced People And Evacuations,0.8736330498177399,0.910126582278481,0.8915065096094235,790.0
Infrastructure And Utility Damage,0.7944732297063903,0.8534322820037106,0.8228980322003577,1617.0
Injured Or Dead People,0.9028420356906808,0.9440221147201106,0.922972972972973,1447.0
Missing Or Found People,0.8333333333333334,0.7638888888888888,0.7971014492753623,72.0
Not Humanitarian,0.6370967741935484,0.5710843373493976,0.602287166454892,1245.0
Other Relevant Information,0.6217283950617284,0.5230577482343166,0.5681407942238267,2407.0
Requests Or Urgent Needs,0.5969289827255279,0.5969289827255279,0.5969289827255279,521.0
Rescue Volunteering Or Donation Effort,0.8479841374752148,0.9123014932448448,0.878967800867778,4219.0
Sympathy And Support,0.8525453481568168,0.822234762979684,0.8371157713300775,1772.0
accuracy,0.7831134564643799,0.7831134564643799,0.7831134564643799,0.7831134564643799
macro avg,0.764913414304667,0.7612030463452999,0.7619432547060494,15160.0
weighted avg,0.7761910018489254,0.7831134564643799,0.7782694691034682,15160.0
