Rank,Model,Category,Test Macro F1,Test Accuracy,Test Weighted F1,Test Macro Precision,Test Macro Recall,Val Best Macro F1,Feature Representation,Val Accuracy,Val Macro F1,Cell Type,Layers,Architecture,Parameters
1,BERT Base Uncased,Transformer (BERT),0.7539579274383119,0.770976253298153,0.7677646387216804,0.7353291987700721,0.7814610333010075,0.7473389248440595,,,,,,Transformer (BERT),110M
2,RoBERTa Base,Transformer (RoBERTa),0.7528632645913202,0.7710422163588391,0.7674213232972932,0.731480065421193,0.7860386874260095,0.7520334757756477,,,,,,Transformer (RoBERTa),125M
3,Word TF-IDF + LogisticRegression,Classical ML,0.717225089855244,0.7363456464379947,0.7386569402201982,0.6982909281879197,0.7444233678618437,,WORD_TFIDF,0.7297574746567432,0.7131770355622147,,,,
4,Char TF-IDF + LinearSVC,Classical ML,0.7119744070778896,0.7362137203166227,0.7344466018279132,0.7025438455524982,0.7239332017826079,,CHAR_TFIDF,0.7361734890286155,0.7127727544656512,,,,
5,Char TF-IDF + LogisticRegression,Classical ML,0.7112181855439069,0.7336411609498681,0.7366291320327464,0.687353611806469,0.7499825097550324,,CHAR_TFIDF,0.7282176312074939,0.7041591966995034,,,,
6,BoW + LogisticRegression,Classical ML,0.7084794420720841,0.7253957783641161,0.7277063530248821,0.6991234650660016,0.71979689148193,,BOW,0.723598100859746,0.7070220435144645,,,,
7,Word TF-IDF + LinearSVC,Classical ML,0.708034684861179,0.7301451187335092,0.7278709399647751,0.7004405300862603,0.7173613627833866,,WORD_TFIDF,0.7269344283331195,0.7035715386797106,,,,
8,Word2Vec + LSTM,Word2Vec,0.7079851541074348,0.7282981530343008,0.7256915820634864,0.6898929454916665,0.7386949167692838,0.7061255349601273,,,,LSTM,1.0,,
9,FastText + 2-Stacked BiLSTM,FastText,0.7060280247902357,0.7245382585751979,0.7253723317278867,0.6829983445476883,0.7425511163300594,0.698782764806736,,,,BILSTM,2.0,,
10,GloVe + BiLSTM,GloVe,0.704408495430769,0.7296833773087071,0.7282554281306732,0.6804105803681585,0.7428345836527466,0.7043832618628658,,,,BILSTM,1.0,,
11,Word2Vec + BiLSTM,Word2Vec,0.7036743430825123,0.720712401055409,0.7235947416036159,0.6851304343108228,0.7306989816082909,0.7016902691489199,,,,BILSTM,1.0,,
12,FastText + BiLSTM,FastText,0.7023754646339182,0.7175461741424802,0.719559225165442,0.6806697028447235,0.7470519142479672,0.7045799288324599,,,,BILSTM,1.0,,
13,GloVe + 2-Stacked BiLSTM,GloVe,0.6997438220034654,0.7245382585751979,0.7201634949141664,0.6787861403064103,0.7329001243607346,0.6992421213617261,,,,BILSTM,2.0,,
14,Word2Vec + BiRNN,Word2Vec,0.6994603992062854,0.7273087071240105,0.7249969020955819,0.6777130538680177,0.7337468355988711,0.6961077355788542,,,,BIRNN,1.0,,
15,Word2Vec + 2-Stacked BiRNN,Word2Vec,0.6984612275124141,0.7236147757255936,0.7234120855141773,0.6838631662246702,0.7198514071769668,0.6929676613182683,,,,BIRNN,2.0,,
16,Word2Vec + Simple RNN,Word2Vec,0.6979128078929768,0.720712401055409,0.7176960053950427,0.6778751423359969,0.7306006314269766,0.6964164406566078,,,,RNN,1.0,,
17,FastText + BiRNN,FastText,0.6930668910839167,0.712335092348285,0.7131212674494464,0.6675581962723883,0.7365180968458566,0.6897799831749198,,,,BIRNN,1.0,,
18,GloVe + BiRNN,GloVe,0.689963485241651,0.712401055408971,0.7094860636431899,0.6636900268372272,0.7396683588697368,0.6973273322418778,,,,BIRNN,1.0,,
19,Word2Vec + 2-Stacked BiLSTM,Word2Vec,0.6892094421234622,0.7145778364116095,0.7137271674676395,0.666575664008304,0.7449610735826036,0.6943543515640448,,,,BILSTM,2.0,,
20,BoW + LinearSVC,Classical ML,0.6672208633704567,0.691622691292876,0.690435035410408,0.664720393988329,0.6699276630684528,,BOW,0.6908764275631978,0.6648811587020587,,,,
21,Word TF-IDF + MultinomialNB,Classical ML,0.6375184554857942,0.6903693931398417,0.6831622865208665,0.6769486756367233,0.6161099630669012,,WORD_TFIDF,0.6807391248556397,0.6230107951395828,,,,
22,BoW + MultinomialNB,Classical ML,0.6347728265946372,0.6766490765171504,0.6728319174805295,0.6135322113007508,0.6730714262260205,,BOW,0.6725266264596432,0.625914481334562,,,,
23,Word TF-IDF + ComplementNB,Classical ML,0.6234638554323797,0.6966358839050132,0.6707053573044984,0.6597164611959603,0.6263024161001759,,WORD_TFIDF,0.6912613884255101,0.6212847105318592,,,,
24,BoW + ComplementNB,Classical ML,0.6192120924698016,0.6945250659630607,0.6653991366223307,0.6615791236655018,0.624373986131759,,BOW,0.6960092390606955,0.6280361471663232,,,,
